"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 14 16:51:42 IST 2023","Wed Jun 14 16:51:45 IST 2023","2697","","Checkout Process","","","","should successfully complete the checkout process",""
"passed","Wed Jun 14 16:51:25 IST 2023","Wed Jun 14 16:51:27 IST 2023","1603","","Product Filtering","","","","should filter products from low to high",""
"passed","Wed Jun 14 16:51:17 IST 2023","Wed Jun 14 16:51:18 IST 2023","963","","template spec","","","","passes",""
"passed","Wed Jun 14 16:51:06 IST 2023","Wed Jun 14 16:51:09 IST 2023","3647","","Cancel Checkout","","","","should cancel the checkout process",""
"passed","Wed Jun 14 16:51:33 IST 2023","Wed Jun 14 16:51:35 IST 2023","2198","","Logout","","","","should logout from the website",""
